Fecha	Magnitud Ml	Longitud	Latitud	Municipio	Profundidad Km	Estado
14/04/2017	1,1	-76,186	6,825	FRONTINO	5,7	Revisado
14/04/2017	1,3	-75,604	6,394	BELLO	4	Revisado
14/04/2017	1,2	-76,155	7,173	DABEIBA	0	Revisado
14/04/2017	1,2	-76,486	7,046	MUTATA	25,2	Revisado
14/04/2017	1,8	-76,883	7,011	MURINDO	18,9	Revisado
15/04/2017	1,5	-76,822	6,475	VIGIA DEL FUERTE	4	Revisado
15/04/2017	1,3	-76,406	6,117	URRAO	0	Revisado
15/04/2017	1,7	-75,225	6,553	SANTO DOMINGO	4	Revisado
15/04/2017	1,3	-75,207	6,534	SANTO DOMINGO	4,2	Revisado
16/04/2017	1	-76,169	7,182	DABEIBA	0	Revisado
16/04/2017	1,8	-76,167	7,196	DABEIBA	0	Revisado
16/04/2017	1,3	-76,135	7,129	DABEIBA	0	Revisado
16/04/2017	1,3	-76,139	7,12	DABEIBA	0	Revisado
16/04/2017	1,4	-75,259	7,457	CACERES	38	Revisado
16/04/2017	1,1	-75,678	7,049	TOLEDO	0	Revisado
16/04/2017	2	-75,072	7,301	ANORI	6	Revisado
17/04/2017	1,9	-76,357	7,314	MUTATA	0	Revisado
17/04/2017	1,5	-75,144	7,309	ANORI	,4	Revisado
18/04/2017	1,7	-76,256	6,884	URAMITA	2,2	Revisado
18/04/2017	1,5	-76,255	7,163	DABEIBA	0	Revisado
18/04/2017	1,4	-74,746	7,055	SEGOVIA	13,2	Revisado
18/04/2017	1,3	-76,313	6,831	URAMITA	10,9	Revisado
18/04/2017	1,4	-74,871	6	SAN LUIS	0	Revisado
19/04/2017	2,4	-76,179	6,887	URAMITA	0	Revisado
19/04/2017	2,7	-76,21	6,984	DABEIBA	0	Revisado
19/04/2017	1,6	-73,918	6,916	YONDO	15	Revisado
19/04/2017	1,5	-76,676	6,479	VIGIA DEL FUERTE	4	Revisado
20/04/2017	2,2	-76,204	6,92	URAMITA	3,4	Revisado
20/04/2017	1,4	-76,186	6,919	URAMITA	0	Revisado
20/04/2017	2,7	-76,729	6,739	VIGIA DEL FUERTE	4	Revisado
20/04/2017	1,6	-74,882	5,848	SAN LUIS	2,2	Revisado
21/04/2017	1,1	-74,942	6,969	AMALFI	21,1	Revisado
21/04/2017	1,7	-76,149	7,034	DABEIBA	0	Revisado
22/04/2017	1,3	-76,736	6,442	VIGIA DEL FUERTE	24,3	Revisado
22/04/2017	2	-76,191	7,178	DABEIBA	0	Revisado
22/04/2017	1,8	-76,745	6,937	MURINDO	53,1	Revisado
23/04/2017	1,7	-76,185	7,125	DABEIBA	0	Revisado
23/04/2017	1,6	-76,678	6,503	VIGIA DEL FUERTE	4	Revisado
23/04/2017	1,4	-76,815	6,672	VIGIA DEL FUERTE	4	Revisado
24/04/2017	1,6	-76,572	6,719	MURINDO	0	Revisado
24/04/2017	1,4	-76,075	5,944	SALGAR	57,1	Revisado
24/04/2017	1,3	-75,017	7,482	ZARAGOZA	38,5	Revisado
24/04/2017	1	-74,455	5,752	PUERTO TRIUNFO	,8	Revisado
25/04/2017	1,8	-76,239	7,167	DABEIBA	0	Revisado
25/04/2017	1,9	-76,602	6,912	MURINDO	0	Revisado
26/04/2017	1,9	-76,168	7,095	DABEIBA	1,3	Revisado
26/04/2017	1,3	-76,198	7,083	DABEIBA	1,6	Revisado
26/04/2017	1,7	-74,832	5,861	PUERTO TRIUNFO	,9	Revisado
27/04/2017	1,6	-76,268	7,144	DABEIBA	33,1	Revisado
27/04/2017	1,8	-76,281	6,902	DABEIBA	9,3	Revisado
27/04/2017	1,5	-76,212	7,124	DABEIBA	0	Revisado
29/04/2017	1,4	-76,495	6,801	DABEIBA	0	Revisado
29/04/2017	1,6	-76,71	6,731	VIGIA DEL FUERTE	17,3	Revisado
29/04/2017	1,4	-76,098	6,907	URAMITA	,9	Revisado
29/04/2017	2	-76,19	6,91	URAMITA	0	Revisado
29/04/2017	2,2	-74,474	7,343	SEGOVIA	52	Revisado
30/04/2017	1,7	-76,139	7,13	DABEIBA	0	Revisado
30/04/2017	1,5	-76,129	7,124	DABEIBA	0	Revisado
30/04/2017	2,2	-76,199	7,123	DABEIBA	14,6	Revisado
30/04/2017	1,6	-76,164	7,151	DABEIBA	0	Revisado
30/04/2017	1,6	-75,192	6,542	SANTO DOMINGO	4	Revisado
01/05/2017	1,5	-74,88	5,996	SAN LUIS	4	Revisado
01/05/2017	1,4	-76,034	6,017	SALGAR	45,2	Revisado
01/05/2017	1,7	-76,164	7,083	DABEIBA	0	Revisado
01/05/2017	1,6	-76,288	6,897	DABEIBA	16,3	Revisado
01/05/2017	1,3	-76,157	6,816	FRONTINO	4	Revisado
01/05/2017	,9	-74,84	7,385	ZARAGOZA	26,6	Revisado
02/05/2017	,8	-75,694	7,015	TOLEDO	24,6	Revisado
02/05/2017	1,3	-75,295	7,344	VALDIVIA	15,3	Revisado
02/05/2017	1,6	-75,237	8,069	CAUCASIA	14,3	Revisado
03/05/2017	1,5	-73,916	6,805	YONDO	22,7	Revisado
03/05/2017	2,3	-76,246	6,855	URAMITA	0	Revisado
03/05/2017	1,8	-76,258	6,814	URAMITA	,8	Revisado
03/05/2017	3,6	-76,307	6,838	URAMITA	,1	Revisado
03/05/2017	,9	-74,254	6,411	PUERTO BERRIO	62,9	Revisado
03/05/2017	1,3	-75,269	7,012	CAMPAMENTO	4	Revisado
03/05/2017	1,7	-76,392	6,855	DABEIBA	4	Revisado
03/05/2017	3,4	-76,247	7,199	MUTATA	0	Revisado
03/05/2017	1,9	-76,204	7,176	DABEIBA	,7	Revisado
03/05/2017	2,4	-76,222	7,177	DABEIBA	0	Revisado
04/05/2017	1,5	-76,187	7,152	DABEIBA	1,7	Revisado
04/05/2017	1,6	-76,235	7,047	DABEIBA	13	Revisado
